Date,Close,Open,High,Low,Volume
2018-10-24,13795.90,13795.90,14042.30,13795.90,14270000
2018-10-25,13725.60,13373.60,13778.30,13320.80,19830000
2018-10-26,13690.40,13831.10,13936.70,13690.40,14090000
2018-10-29,13672.80,13602.40,13690.40,13584.80,12210000
2018-10-30,13620.00,13584.80,13848.70,13584.80,7350000
2018-10-31,14165.50,13760.70,14165.50,13743.20,11610000
2018-11-04,15208.70,15334.40,15585.80,15183.60,27560000
2018-11-05,14002.10,13725.60,14027.20,13700.40,10460000
2018-11-06,15233.90,15334.40,15510.40,15208.70,30820000
2018-11-07,12106.60,12282.60,12458.60,11895.50,19240000
2018-11-09,14077.50,13743.20,14147.90,13743.20,18940000
2018-11-10,14042.30,14112.70,14288.70,13831.10,43780000
2018-11-12,11772.30,11825.10,11948.30,11543.50,19110000
2018-11-13,12986.50,13021.70,13127.30,12951.30,14790000
2018-11-14,12599.40,12968.90,12968.90,12405.80,22650000
2018-11-15,12317.80,12493.80,12652.10,12229.80,1870000
2018-11-16,12388.20,12493.80,12564.20,12335.40,6360000
2018-11-19,12476.20,12493.80,12599.40,12370.60,4560000
2018-11-20,12845.70,12529.00,12898.50,12458.60,15630000
2018-11-21,12845.70,12687.30,12951.30,12669.70,10420000
2018-11-22,12599.40,12880.90,12933.70,12599.40,7510000
2018-11-23,12511.40,12599.40,12669.70,12493.80,5630000
2018-11-26,12529.00,12529.00,12740.10,12511.40,6780000
2018-11-27,12529.00,12599.40,12740.10,12529.00,5190000
2018-11-28,12388.20,12564.20,12617.00,12300.20,1120000
2018-11-29,12036.30,12458.60,12546.60,12036.30,11110000
2018-11-30,11684.30,11965.90,11965.90,11684.30,20450000
2018-12-04,15510.40,15133.30,15560.70,15057.90,1730000
2018-12-06,14957.30,15590.80,15590.80,14675.80,290000
2018-12-07,11877.90,11719.50,12018.70,11684.30,9110000
2018-12-09,13901.50,14112.70,14165.50,13901.50,15350000
2018-12-10,14359.00,13866.30,14359.00,13866.30,18060000
